family,model,total_time,method,resolution,gate_proxy,spectral_error,trace_fidelity
TFIM,TFIM_4q_J3.0_h0.25,0.5,cartan_qaoa_fit,4,17,0.24750073344189155,0.9819962677821577
TFIM,TFIM_4q_J3.0_h0.25,0.5,cartan_qaoa_fit,6,25,0.24750148963488414,0.9819960147559397
TFIM,TFIM_4q_J3.0_h0.25,1.0,trotter1,2,4,0.39413173930427625,0.9340941292782359
TFIM,TFIM_4q_J3.0_h0.25,1.0,trotter1,4,8,0.04711542131680873,0.9990913428057441
TFIM,TFIM_4q_J3.0_h0.25,1.0,trotter1,6,12,0.02821182316008233,0.9996580904959952
TFIM,TFIM_4q_J3.0_h0.25,1.0,suzuki2,2,6,0.34393818817427646,0.9452058273004449
TFIM,TFIM_4q_J3.0_h0.25,1.0,suzuki2,4,12,0.01722215632174505,0.9998866183232907
TFIM,TFIM_4q_J3.0_h0.25,1.0,suzuki2,6,18,0.006906939725907709,0.9999820211578099
TFIM,TFIM_4q_J3.0_h0.25,1.0,cartan_restricted,2,6,0.36312671453518425,0.9393809498252814
TFIM,TFIM_4q_J3.0_h0.25,1.0,cartan_restricted,4,12,0.3631267145351854,0.939380949825283
TFIM,TFIM_4q_J3.0_h0.25,1.0,cartan_restricted,6,18,0.36312671453518613,0.9393809498252828
TFIM,TFIM_4q_J3.0_h0.25,1.0,lc_qaoa,2,6,1.0894683540033754,0.5280251729986485
TFIM,TFIM_4q_J3.0_h0.25,1.0,lc_qaoa,4,12,0.0836716142470565,0.9972475353711167
TFIM,TFIM_4q_J3.0_h0.25,1.0,lc_qaoa,6,18,0.030314749638116922,0.9996489534868833
TFIM,TFIM_4q_J3.0_h0.25,1.0,alt_qaoa_fit,2,4,0.33430112137762247,0.9711602351179229
TFIM,TFIM_4q_J3.0_h0.25,1.0,alt_qaoa_fit,4,8,0.010965554392846008,0.9999666246801925
TFIM,TFIM_4q_J3.0_h0.25,1.0,alt_qaoa_fit,6,12,0.0029235591317830637,0.9999969841215411
TFIM,TFIM_4q_J3.0_h0.25,1.0,prl_cartan_fit,2,9,0.5375219026180329,0.8794272306616565
TFIM,TFIM_4q_J3.0_h0.25,1.0,prl_cartan_fit,4,17,0.5375134144572514,0.8794311011704405
TFIM,TFIM_4q_J3.0_h0.25,1.0,prl_cartan_fit,6,25,0.5375116642779276,0.8794319327831137
TFIM,TFIM_4q_J3.0_h0.25,1.0,cartan_qaoa_fit,2,9,0.3597569142231352,0.9395778126806651
TFIM,TFIM_4q_J3.0_h0.25,1.0,cartan_qaoa_fit,4,17,0.35976102056666326,0.9395776674656638
TFIM,TFIM_4q_J3.0_h0.25,1.0,cartan_qaoa_fit,6,25,0.3597618190323747,0.9395776111603208
TFIM,TFIM_4q_J3.0_h0.25,1.5,trotter1,2,4,0.6601146302953076,0.8334106492922093
TFIM,TFIM_4q_J3.0_h0.25,1.5,trotter1,4,8,0.2701903473724945,0.975523081091871
TFIM,TFIM_4q_J3.0_h0.25,1.5,trotter1,6,12,0.15646519311936702,0.9911416652895719
TFIM,TFIM_4q_J3.0_h0.25,1.5,suzuki2,2,6,0.4373031285591019,0.9359964180805316
TFIM,TFIM_4q_J3.0_h0.25,1.5,suzuki2,4,12,0.09870297778475638,0.9966807462790679
TFIM,TFIM_4q_J3.0_h0.25,1.5,suzuki2,6,18,0.03340390187923227,0.9996244914992933
TFIM,TFIM_4q_J3.0_h0.25,1.5,cartan_restricted,2,6,0.6003348571028925,0.8630350099900767
TFIM,TFIM_4q_J3.0_h0.25,1.5,cartan_restricted,4,12,0.6003348571028961,0.8630350099900768
TFIM,TFIM_4q_J3.0_h0.25,1.5,cartan_restricted,6,18,0.6003348571028974,0.8630350099900784
TFIM,TFIM_4q_J3.0_h0.25,1.5,lc_qaoa,2,6,1.5075742183832088,0.37305766111894634
TFIM,TFIM_4q_J3.0_h0.25,1.5,lc_qaoa,4,12,0.5203385493372549,0.9056714684947903
TFIM,TFIM_4q_J3.0_h0.25,1.5,lc_qaoa,6,18,0.15379917640131285,0.9919744632391904
TFIM,TFIM_4q_J3.0_h0.25,1.5,alt_qaoa_fit,2,4,0.363040031594319,0.9656028245526278
TFIM,TFIM_4q_J3.0_h0.25,1.5,alt_qaoa_fit,4,8,0.04974717309308447,0.9991650078501726
TFIM,TFIM_4q_J3.0_h0.25,1.5,alt_qaoa_fit,6,12,0.009336416375851954,0.9999616326031886
TFIM,TFIM_4q_J3.0_h0.25,1.5,prl_cartan_fit,2,9,0.8091598551390845,0.7477678085274928
TFIM,TFIM_4q_J3.0_h0.25,1.5,prl_cartan_fit,4,17,0.8091532938009771,0.7477739435696679
TFIM,TFIM_4q_J3.0_h0.25,1.5,prl_cartan_fit,6,25,0.8091535760852221,0.747775193208672
TFIM,TFIM_4q_J3.0_h0.25,1.5,cartan_qaoa_fit,2,9,0.5902235967336413,0.8661929638646423
TFIM,TFIM_4q_J3.0_h0.25,1.5,cartan_qaoa_fit,4,17,0.5902180709013631,0.8661893868534829
TFIM,TFIM_4q_J3.0_h0.25,1.5,cartan_qaoa_fit,6,25,0.5901948636644074,0.8661908373534701
TFIM,TFIM_4q_J3.0_h0.5,0.5,trotter1,2,4,0.2741987014249262,0.966713042627917
TFIM,TFIM_4q_J3.0_h0.5,0.5,trotter1,4,8,0.13030637260295183,0.9920873209232923
TFIM,TFIM_4q_J3.0_h0.5,0.5,trotter1,6,12,0.08600572256707566,0.9965137496134554
TFIM,TFIM_4q_J3.0_h0.5,0.5,suzuki2,2,6,0.05062842714149917,0.9990500357589069
TFIM,TFIM_4q_J3.0_h0.5,0.5,suzuki2,4,12,0.01166517463686079,0.9999493593639897
TFIM,TFIM_4q_J3.0_h0.5,0.5,suzuki2,6,18,0.005115089848124506,0.9999902586253722
TFIM,TFIM_4q_J3.0_h0.5,0.5,cartan_restricted,2,6,0.522645405581177,0.9169768282520635
TFIM,TFIM_4q_J3.0_h0.5,0.5,cartan_restricted,4,12,0.522645405581178,0.9169768282520635
TFIM,TFIM_4q_J3.0_h0.5,0.5,cartan_restricted,6,18,0.5226454055811792,0.9169768282520637
TFIM,TFIM_4q_J3.0_h0.5,0.5,lc_qaoa,2,6,0.2321922886560067,0.9815008792702977
TFIM,TFIM_4q_J3.0_h0.5,0.5,lc_qaoa,4,12,0.04830542938757562,0.9991505266503097
TFIM,TFIM_4q_J3.0_h0.5,0.5,lc_qaoa,6,18,0.020776028121487846,0.9998408884354161
TFIM,TFIM_4q_J3.0_h0.5,0.5,alt_qaoa_fit,2,4,0.19462532096294696,0.9889289353678724
TFIM,TFIM_4q_J3.0_h0.5,0.5,alt_qaoa_fit,4,8,0.006828527215910551,0.9999870978099352
TFIM,TFIM_4q_J3.0_h0.5,0.5,alt_qaoa_fit,6,12,0.0026029600225185236,0.9999981871492327
TFIM,TFIM_4q_J3.0_h0.5,0.5,prl_cartan_fit,2,9,0.5949893544403068,0.8844626278652036
TFIM,TFIM_4q_J3.0_h0.5,0.5,prl_cartan_fit,4,17,0.5950204823231268,0.8844766529836275
